DeviceObj,Circuit,Location,Debug,Three Phase
Outlets,MWSB.5.DHB.10.T1BA.L1BA.11,3042,,
Outlets,MWSB.5.DHB.10.T1BA.L1BA.12,3042,,
Outlets,MWSB.5.DHB.10.T1BA.L1BA.13,3037,,
Outlets,MWSB.5.DHB.10.T1BA.L1BA.14,3040,,
Outlets,MWSB.5.DHB.10.T1BA.L1BA.15,3040,,
Outlets,MWSB.5.DHB.10.T1BA.L1BA.15,3039,,
Outlets,MWSB.5.DHB.10.T1BA.L1BA.16,3038,,
Outlets,MWSB.5.DHB.10.T1BA.L1BA.16,3039,,
Library book security system,MWSB.5.DHB.10.T1BA.L1BA.17,3037,,
Outlets,MWSB.5.DHB.10.T1BA.L1BA.18,3037,,
Outlets,MWSB.5.DHB.10.T1BA.L1BA.18,3038,,
Door opener Library,MWSB.5.DHB.10.T1BA.L1BA.18,3037,,
Copy machine Library,MWSB.5.DHB.10.T1BA.L1BA.18,3037,,
Outlets,MWSB.5.DHB.10.T1BA.L1BA.19,3037,,
Outlets,MWSB.5.DHB.10.T1BA.L1BA.20,3037,,
Outlets,MWSB.5.DHB.10.T1BA.L1BA.21,3037,,
UV,MWSB.5.DHB.10.T1BA.L1BA.22,3014,,
UV,MWSB.5.DHB.10.T1BA.L1BA.23,3013,,
Outlets corr,MWSB.5.DHB.10.T1BA.L1BA.24,3047,,
Copy Machine,MWSB.5.DHB.10.T1BA.L1BA.25,,,
C Building existing cargo ELEVATOR,MWSB.6.DE.4,,,
ELEVATOR NEW LOBBY,MWSB.6.DE.7,,,
Lights Library,MWSB.6.DE.1.LE3.2,3037,,
Lights Library,MWSB.6.DE.1.LE3.3,3037,,
Lights,MWSB.6.DE.1.LE3.4,4084,,
Lights,MWSB.6.DE.1.LE3.4,4065,,
Lights,MWSB.6.DE.1.LE3.4,4083A,,
Lights corr,MWSB.6.DE.1.LE3.5,4017,,
Lights corr,MWSB.6.DE.1.LE3.5,4019,,
Lights corr,MWSB.6.DE.1.LE3.5,4030,,
Lights corr,MWSB.6.DE.1.LE3.5,4031,,
Lights corr,MWSB.6.DE.1.LE3.5,4045,,
Lights corr,MWSB.6.DE.1.LE3.5,4054,,
Lights corr,MWSB.6.DE.1.LE3.5,4059,,
Exit Signs Entrance / Closing (E/C) 4th Floor,MWSB.6.DE.1.LE3.6,,,
Lights Bath,MWSB.6.DE.1.LE3.7,4057,,
Lights corr,MWSB.6.DE.1.LE3.8,4067,,
Lights corr,MWSB.6.DE.1.LE3.8,4068,,
Lights corr,MWSB.6.DE.1.LE3.8,4069,,
Lights corr,MWSB.6.DE.1.LE3A.1,4072A,,
Lights,MWSB.6.DE.1.LE3A.2,4028,,
Lights,MWSB.6.DE.1.LE3A.2,4029,,
Lights corr,MWSB.6.DE.1.LE3A.3,4071,,
Lights,MWSB.6.DE.1.LE3A.3,4009,,
Lights,MWSB.6.DE.1.LE3A.4,4073,,
Lights,MWSB.6.DE.1.LE3A.4,4010,,
Lights,MWSB.6.DE.1.LE3A.4,4074A,,
Exit Signs Door Closing (D/C) 4th Floor,MWSB.6.DE.1.LE3A.8,,,
Exit Signs Door Entrance (D/E) 4th Floor,MWSB.6.DE.1.LE3A.10,,,
Lights Clinic,MWSB.6.DE.2.LE2.1,3075,,
Lights Clinic,MWSB.6.DE.2.LE2.1,3077,,
Lights Clinic,MWSB.6.DE.2.LE2.1,3086,,
Lights Clinic,MWSB.6.DE.2.LE2.1,3085,,
Lights Clinic,MWSB.6.DE.2.LE2.1,3083,,
Lights Clinic,MWSB.6.DE.2.LE2.1,3084,,
Lights Clinic,MWSB.6.DE.2.LE2.1,3081,,
Lights corr,MWSB.6.DE.2.LE2.2,3026,,
Lights corr,MWSB.6.DE.2.LE2.2,3028,,
Lights corr,MWSB.6.DE.2.LE2.2,3046,,
